symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,-0.0124,0.8015,413
QQQ,hurst_scale_spread,fractal,1,-0.008,0.8714,413
QQQ,psd_beta,fractal,1,0.006,0.9034,413
QQQ,multifractal_width,fractal,1,-0.0176,0.721,413
QQQ,multifractal_asymmetry,fractal,1,-0.0123,0.8038,413
QQQ,hurst_wavelet,fractal,3,-0.1015,0.0393,413
QQQ,hurst_scale_spread,fractal,3,-0.0301,0.5423,413
QQQ,psd_beta,fractal,3,0.0569,0.2487,413
QQQ,multifractal_width,fractal,3,0.009,0.8551,413
QQQ,multifractal_asymmetry,fractal,3,0.0211,0.6689,413
QQQ,hurst_wavelet,fractal,5,-0.1376,0.0051,413
QQQ,hurst_scale_spread,fractal,5,-0.0075,0.8789,413
QQQ,psd_beta,fractal,5,0.0585,0.2358,413
QQQ,multifractal_width,fractal,5,0.0138,0.7801,413
QQQ,multifractal_asymmetry,fractal,5,0.0296,0.548,413
QQQ,hurst_wavelet,fractal,10,-0.1776,0.0003,413
QQQ,hurst_scale_spread,fractal,10,0.0757,0.1244,413
QQQ,psd_beta,fractal,10,0.0275,0.5776,413
QQQ,multifractal_width,fractal,10,0.0801,0.1042,413
QQQ,multifractal_asymmetry,fractal,10,0.0972,0.0484,413
QQQ,hurst_wavelet,fractal,20,-0.0826,0.0943,411
QQQ,hurst_scale_spread,fractal,20,0.0655,0.1852,411
QQQ,psd_beta,fractal,20,-0.0666,0.1775,411
QQQ,multifractal_width,fractal,20,0.2832,0.0,411
QQQ,multifractal_asymmetry,fractal,20,0.2901,0.0,411
